Item_Number,Temperature_A,Temperature_B,Temperature_C,Temperature_D,Time_in_Days,Humidity_A,Humidity_B,Humidity_C,Humidity_D,Medicine
199,66,8,26,20,53,34,37,52,45,A
200,79,65,17,10,71,55,37,56,49,B
201,47,29,81,77,53,41,42,38,45,B
202,42,20,87,43,54,57,27,45,69,B
203,91,18,14,74,42,63,53,51,20,A
204,79,25,21,8,67,58,38,64,65,B
205,21,68,49,30,31,27,61,69,69,A
206,13,37,52,19,64,20,30,59,66,B
207,17,78,74,70,45,69,69,68,59,B
208,29,74,2,63,88,44,50,54,66,B
209,63,52,33,76,43,26,27,62,51,B
210,27,4,93,49,74,50,43,37,53,B
211,94,10,78,59,40,29,22,56,45,A
212,2,34,27,93,77,65,37,35,30,A
213,98,70,62,34,51,40,61,42,24,A
214,69,13,50,2,73,40,48,53,56,B
215,0,4,65,4,85,27,43,43,53,A
216,41,82,70,14,77,57,21,61,43,B
217,0,55,66,16,79,47,35,21,29,B
218,99,73,79,52,48,42,28,34,60,B
219,27,67,34,56,50,23,45,40,51,B
220,38,78,12,61,38,62,37,67,34,A
221,35,95,90,23,38,43,25,25,21,B
222,68,94,93,89,57,51,52,47,51,A
223,1,1,31,76,76,38,31,41,63,B
224,13,53,19,33,47,52,64,35,31,B
225,24,13,13,94,84,51,53,46,31,A
226,57,75,18,83,62,34,21,46,57,B
227,60,88,81,63,41,38,34,42,24,B
228,5,42,54,23,70,23,29,61,69,B
229,8,32,69,86,40,20,34,26,57,A
230,80,11,18,89,63,33,47,66,25,A
231,84,84,6,14,76,25,29,55,20,A
232,82,95,6,47,71,38,20,38,22,A
233,99,34,16,77,87,30,25,47,43,A
234,98,99,81,79,81,38,56,48,62,A
235,57,74,68,80,47,64,66,67,57,B
236,95,16,82,56,81,68,38,36,64,A
237,50,36,33,15,86,22,55,29,41,A
238,9,45,91,38,53,61,41,37,44,B
239,75,35,40,33,32,46,50,42,36,B
240,58,64,34,2,50,29,42,65,38,A
241,96,74,3,30,60,42,50,38,67,B
242,65,65,31,77,56,34,39,33,46,A
243,33,49,63,31,48,37,57,20,53,A
244,7,89,10,62,61,52,47,64,62,A
245,50,97,45,3,60,26,50,40,28,B
246,46,10,30,92,73,61,32,32,57,B
247,42,71,38,47,36,37,30,26,37,B
248,6,3,1,95,49,63,45,37,27,B
249,40,96,62,26,68,22,57,48,57,B
250,0,60,4,40,47,38,54,41,66,A
251,75,79,31,34,75,36,25,39,32,A
252,54,6,19,49,69,61,47,23,25,B
253,83,25,29,36,79,64,55,43,52,A
254,29,57,26,64,55,61,48,32,45,A
255,90,64,16,49,38,33,41,69,51,A
256,41,76,62,3,70,44,63,54,35,B
257,22,18,45,20,73,54,40,50,54,A
258,95,9,5,60,56,37,65,52,57,A
259,75,28,0,67,76,55,26,29,20,B
260,43,12,90,45,37,34,50,23,63,B
261,25,73,11,73,33,56,43,27,53,A
262,72,93,0,88,33,31,56,57,24,B
263,13,42,99,10,78,30,53,30,32,B
264,69,80,89,52,43,55,68,50,33,B
265,79,64,32,83,88,30,68,51,34,B
266,41,18,5,70,81,65,31,67,33,A
267,85,52,64,82,72,54,48,55,33,B
268,50,6,48,76,70,27,67,54,68,A
269,68,53,3,97,45,46,27,24,66,B
270,86,70,69,40,37,32,28,21,29,A
271,14,93,0,54,70,45,30,31,66,A
272,51,76,53,36,39,48,62,42,46,B
273,27,89,68,43,50,65,55,55,60,B
274,25,10,58,84,63,64,69,32,59,B
275,32,64,83,68,86,48,68,40,47,A
276,35,79,64,78,31,57,29,62,29,A
277,19,30,92,91,41,41,51,23,69,A
278,92,55,98,72,77,28,69,50,33,A
279,77,38,47,87,89,54,55,33,27,A
280,92,53,65,73,70,36,64,54,65,A
281,13,64,31,87,43,35,45,26,46,A
282,63,62,15,66,32,63,30,29,31,B
283,38,7,27,60,88,35,67,54,47,B
284,96,80,24,90,62,27,41,35,26,B
285,92,79,50,23,71,35,36,26,57,A
286,35,41,66,69,77,39,33,25,41,B
287,65,0,87,73,49,40,68,29,45,B
288,71,99,33,76,64,22,47,49,35,B
289,47,83,16,65,35,22,67,56,26,B
290,48,50,88,96,74,43,61,25,32,A
291,63,14,99,99,63,26,68,68,21,A
292,71,11,68,35,77,46,47,35,35,B
293,49,31,79,27,44,59,67,48,30,A
294,38,42,58,90,73,52,56,61,44,B
295,44,95,57,14,64,29,29,31,59,A
296,85,13,74,18,80,27,50,52,37,B
297,50,64,18,78,83,32,54,21,47,B
298,35,5,78,94,56,46,30,48,24,B
299,55,55,92,64,70,40,37,28,48,B
300,66,20,5,64,58,47,42,62,37,A
301,6,89,68,81,59,46,55,68,52,B
302,93,61,11,50,64,43,61,69,44,B
303,32,75,39,2,40,51,47,51,60,B
304,5,34,66,73,58,66,51,61,39,B
305,26,57,16,37,48,26,58,35,54,B
306,66,47,88,76,50,63,46,35,44,B
307,97,14,90,9,43,46,40,45,37,B
308,88,34,25,95,32,57,33,24,41,A
309,92,98,40,87,81,45,20,26,69,B
310,18,61,44,35,87,43,49,25,61,B
311,76,54,70,99,78,63,68,21,37,B
312,2,37,89,47,45,64,31,21,26,A
313,42,41,16,74,67,68,42,61,46,B
314,58,7,57,70,68,36,27,21,29,A
315,88,30,95,3,36,48,65,65,44,B
316,92,48,7,75,49,34,66,45,21,B
317,89,5,45,95,37,21,51,33,38,A
318,41,67,22,71,41,23,45,27,55,A
319,52,62,23,65,72,69,38,34,35,A
320,69,65,89,1,37,43,34,27,52,B
321,6,97,89,19,39,22,68,58,68,B
322,15,32,21,84,87,25,60,47,60,A
323,17,83,48,34,71,36,68,20,64,A
324,98,65,30,68,89,41,47,31,41,B
325,62,92,93,71,60,51,42,65,29,A
326,45,0,57,1,54,34,40,20,69,A
327,99,97,95,70,69,40,37,24,62,B
328,38,6,8,47,36,40,57,69,46,A
329,69,27,91,91,58,43,62,63,60,B
330,32,28,56,30,57,48,28,36,21,A
331,58,9,97,85,78,37,57,29,61,A
332,83,42,37,0,51,31,31,64,66,B
333,1,85,16,85,76,63,47,69,68,A
334,42,83,15,94,48,58,36,28,54,A
335,27,87,84,72,57,32,68,25,58,B
336,66,61,64,22,54,22,39,52,60,B
337,1,26,35,56,48,68,48,27,50,B
338,55,47,12,90,34,40,33,62,41,A
339,35,15,16,71,75,51,42,23,52,A
340,16,6,54,41,60,66,50,31,49,A
341,94,51,73,47,83,60,44,29,48,A
342,58,99,26,96,65,30,26,60,51,B
343,54,2,63,73,89,39,28,45,40,B
344,80,22,45,28,40,24,37,47,49,A
345,97,86,46,8,61,39,53,58,32,B
346,63,80,26,44,50,27,31,55,25,A
347,31,64,63,75,87,53,38,33,67,A
348,15,12,49,81,69,41,56,52,33,B
349,43,74,16,55,74,47,42,58,34,A
350,74,69,60,98,68,45,69,38,42,A
351,58,71,45,41,37,59,28,63,30,A
352,83,37,32,10,56,38,68,28,29,A
353,49,64,67,17,67,55,58,59,20,A
354,50,90,65,63,49,31,67,66,60,A
355,93,77,17,22,33,59,65,63,54,B
356,78,39,99,94,52,39,41,52,59,B
357,36,88,44,3,50,30,59,48,50,B
358,65,8,76,15,73,65,38,51,34,A
359,87,91,54,11,54,46,62,38,33,B
360,22,5,97,96,35,29,68,69,28,A
361,66,18,51,34,66,36,64,69,57,B
362,14,66,94,33,67,62,65,43,29,B
363,64,15,84,73,76,52,39,64,35,B
364,31,96,69,24,34,62,46,50,63,B
365,77,10,98,15,46,67,66,66,52,B
366,64,62,32,13,41,39,44,44,50,A
367,95,16,96,42,88,28,41,66,21,B
368,87,26,61,42,58,54,68,57,51,A
369,47,70,53,87,34,26,39,46,33,B
370,13,41,50,30,61,54,29,47,39,B
371,3,0,47,63,89,49,64,45,28,A
372,61,23,9,15,83,55,66,33,31,B
373,91,74,8,84,30,44,65,53,65,A
374,70,84,62,88,66,40,33,46,41,A
375,16,29,59,99,68,35,44,68,21,A
376,94,85,18,26,68,21,35,68,28,A
377,92,46,64,49,68,64,39,56,57,B
378,15,14,50,76,46,39,30,55,42,A
379,47,60,71,14,43,54,59,41,36,A
380,86,81,28,91,42,32,46,60,59,A
381,63,62,15,58,32,68,21,65,46,B
382,75,31,54,91,84,28,41,45,48,B
383,85,16,32,8,51,60,26,62,30,B
384,34,85,54,89,54,20,53,55,67,A
385,99,6,50,52,71,23,61,23,26,B
386,68,10,40,44,68,52,41,22,23,A
387,64,31,47,77,76,26,24,35,40,A
388,69,8,2,13,63,56,24,22,46,B
389,10,75,73,97,54,43,64,65,62,A
390,41,89,28,85,85,21,33,28,29,B
391,25,58,14,54,74,59,64,22,46,B
392,7,21,8,54,59,21,43,53,38,B
393,13,16,67,48,60,59,21,20,47,A
394,0,5,35,86,72,45,36,32,59,A
395,68,37,82,93,74,25,67,45,49,B
396,72,0,81,14,81,65,56,36,37,B
397,5,17,58,88,37,35,23,52,47,B
398,4,1,52,16,51,57,33,66,56,A
399,19,30,26,2,85,41,22,41,45,B
400,5,32,68,30,41,42,35,44,65,B
401,25,38,12,81,71,35,31,46,65,A
402,10,31,70,14,58,56,69,60,28,A
403,67,76,61,34,38,41,36,64,35,A
404,83,92,39,83,55,54,56,32,41,A
405,21,65,74,3,65,65,22,51,67,A
406,55,66,1,59,54,63,46,52,60,A
407,22,57,19,10,76,39,43,46,55,A
408,99,36,14,20,80,60,27,41,67,B
409,90,11,62,19,62,22,52,21,21,A
410,96,31,6,10,59,54,65,32,36,B
411,90,78,68,7,82,65,57,67,40,A
412,92,94,92,57,36,37,57,65,23,B
413,74,91,66,32,82,65,35,45,23,A
414,69,65,81,42,67,32,36,62,26,A
415,38,69,41,99,89,50,60,60,59,A
416,53,25,17,26,74,65,27,25,27,A
417,76,26,99,9,86,52,24,39,48,A
418,39,14,49,85,36,49,46,50,59,B
419,36,15,95,67,66,43,48,47,61,A
420,82,84,97,76,30,30,29,32,58,B
421,25,27,71,4,56,35,35,67,59,A
422,60,58,58,82,54,54,59,21,50,B
423,19,91,47,15,46,42,66,48,23,B
424,33,55,81,9,64,37,31,67,42,A
425,21,46,86,65,80,31,69,41,40,B
426,82,86,78,50,52,56,37,62,55,A
427,18,15,0,26,49,34,49,27,53,A
428,44,12,5,22,46,54,44,43,25,B
429,46,55,75,24,82,24,21,34,36,B
430,19,47,60,88,75,47,63,68,46,A
431,39,23,44,54,57,21,30,45,49,B
432,48,34,81,84,56,57,38,35,66,A
433,11,50,78,68,36,24,66,53,47,B
434,25,37,91,56,75,42,52,58,37,B
435,69,68,67,17,54,29,42,50,29,A
436,98,22,44,99,37,45,44,69,30,A
437,29,87,52,93,76,59,57,24,30,A
438,98,7,16,31,74,35,54,57,26,B
439,9,48,4,10,34,44,41,30,46,B
440,5,34,94,2,67,65,27,49,39,B
441,25,7,20,66,84,37,54,46,29,A
442,32,77,51,27,70,69,20,63,45,A
443,33,89,12,23,70,43,49,52,41,A
444,69,0,40,7,39,24,48,43,57,B
445,65,62,88,18,35,64,29,37,22,B
446,59,90,28,4,75,55,67,24,55,A
447,43,59,3,69,31,61,28,41,26,B
448,32,36,2,12,74,54,50,52,28,A
449,62,2,67,25,53,69,27,56,60,A
450,92,77,42,39,83,52,54,35,66,B
451,72,92,46,80,83,57,68,53,53,A
452,75,67,53,30,77,66,34,48,43,B
453,66,90,93,61,52,37,35,50,53,B
454,48,20,74,97,31,31,52,69,27,B
455,32,66,47,22,60,63,53,23,64,B
456,37,80,98,63,46,30,40,62,39,A
457,69,33,30,62,59,53,53,21,65,B
458,10,63,40,7,69,58,34,65,58,B
459,90,13,55,90,37,25,22,42,38,A
460,71,27,26,59,56,35,35,53,45,A
461,29,65,83,48,64,25,50,65,51,A
462,51,66,87,53,85,29,28,37,38,B
463,52,42,52,3,74,43,51,63,46,B
464,11,73,30,22,35,50,57,43,49,A
465,55,3,10,83,33,69,37,58,51,A
466,75,54,6,82,55,32,35,66,55,A
467,67,45,88,35,59,53,42,26,39,B
468,16,78,99,76,45,21,43,56,66,B
469,45,2,22,83,46,55,64,50,30,A
470,32,47,27,47,72,53,63,20,35,B
471,62,95,27,68,56,33,33,63,35,B
472,95,7,14,8,87,23,40,56,27,A
473,26,19,91,87,63,32,28,27,53,A
474,19,46,30,51,54,35,22,51,63,A
475,77,88,82,42,44,50,35,47,58,A
476,82,18,8,35,65,38,56,38,63,A
477,85,53,71,25,56,44,44,67,60,A
478,39,94,24,56,34,54,23,29,57,B
479,6,68,40,14,82,49,25,47,50,B
480,3,38,75,13,42,49,22,69,20,A
481,95,41,10,38,71,24,40,21,27,A
482,85,71,51,95,88,63,54,58,53,B
483,15,45,80,0,50,47,60,64,48,A
484,58,86,89,81,41,56,53,27,51,B
485,39,97,54,77,65,37,59,63,48,B
486,7,24,19,1,36,65,57,26,25,A
487,19,54,81,52,31,67,52,30,48,B
488,41,51,42,92,86,52,25,61,55,B
489,92,67,50,23,31,45,36,47,36,B
490,69,64,69,55,39,32,32,56,33,A
491,35,35,79,18,42,28,29,27,57,B
492,0,9,72,55,64,62,20,55,56,A
493,73,87,45,94,30,65,58,65,49,A
494,24,66,99,96,44,59,34,25,47,A
495,89,21,41,62,30,65,60,46,69,B
496,85,27,96,89,44,49,49,21,66,B
497,6,27,76,97,65,60,36,20,67,A
498,39,73,14,58,39,25,34,56,57,B
499,58,40,50,27,84,20,33,30,35,B
500,51,12,34,20,68,24,39,27,55,A
501,75,61,76,53,46,36,32,36,50,A
502,7,56,31,33,85,60,62,44,56,A
503,81,72,22,26,79,35,27,30,50,B
504,87,86,96,88,74,64,69,44,39,A
505,48,38,7,8,52,53,32,62,65,A
506,46,97,52,79,53,52,43,63,69,A
507,63,11,34,21,38,60,69,66,30,A
508,92,62,56,38,56,64,20,52,56,A
509,29,93,75,72,32,28,62,42,26,A
510,41,75,80,56,44,43,67,42,24,A
511,3,96,80,67,85,57,53,69,47,A
512,98,22,95,77,48,68,63,64,39,A
513,70,69,37,12,68,53,32,32,53,B
514,67,82,6,94,74,24,60,49,66,B
515,83,93,28,9,85,62,27,59,63,B
516,72,57,23,69,55,46,63,59,27,A
517,81,87,75,13,74,61,55,52,29,A
518,75,78,26,8,52,44,52,48,54,B
519,21,32,62,2,55,24,65,58,62,B
520,60,56,39,23,40,35,51,57,32,B
521,6,79,16,68,82,46,67,25,40,B
522,19,69,77,51,52,24,57,22,59,A
523,64,57,14,18,64,40,28,30,35,B
524,2,0,33,83,81,67,59,32,59,B
525,66,57,67,41,62,60,26,60,61,A
526,28,73,1,65,80,48,61,49,43,B
527,80,99,89,21,83,52,51,42,35,A
528,51,40,41,67,47,44,50,61,35,A
529,3,22,47,29,43,59,32,52,28,A
530,60,40,37,65,49,67,48,20,25,B
531,65,15,6,74,31,30,61,62,41,B
532,21,87,52,97,64,20,51,45,31,A
533,65,67,73,57,84,69,39,42,33,B
534,51,99,39,82,89,45,68,32,37,B
535,58,50,86,53,85,57,57,47,25,B
536,68,67,58,31,77,42,67,21,25,A
537,68,26,44,27,86,45,33,43,58,B
538,52,33,14,41,33,44,61,36,31,B
539,60,61,60,82,66,65,58,57,30,A
540,89,71,48,86,40,63,69,50,64,B
541,77,57,25,99,43,45,38,60,42,B
542,44,78,2,13,72,67,55,46,33,A
543,99,72,19,71,81,58,41,52,33,B
544,57,72,87,51,41,65,51,52,40,B
545,54,71,67,40,88,58,29,40,53,B
546,38,33,81,92,60,48,50,61,63,A
547,53,43,31,40,32,26,24,46,22,A
548,2,7,86,14,50,37,37,52,48,B
549,25,24,76,43,51,35,51,31,68,A
550,63,7,97,31,80,60,34,38,66,A
551,59,65,87,54,64,28,32,46,59,B
552,34,8,16,20,84,67,60,41,55,B
553,30,60,42,85,56,41,53,36,69,A
554,23,68,57,33,86,44,22,48,45,A
555,65,61,29,50,52,63,31,57,60,B
556,8,92,73,42,68,29,57,37,33,B
557,80,47,76,52,50,55,40,65,50,B
558,50,14,34,77,65,41,32,27,35,A
559,16,86,91,31,34,41,69,30,34,B
560,64,55,7,69,72,42,20,60,49,A
561,66,90,56,84,72,63,20,43,30,A
562,21,14,82,76,30,53,64,49,58,B
563,50,66,34,95,35,32,64,50,44,A
564,95,26,50,56,77,27,40,67,42,A
565,65,38,60,56,81,55,32,67,64,A
566,33,92,88,72,74,57,32,52,36,B
567,17,70,15,15,71,38,62,67,23,A
568,22,49,54,49,38,51,63,40,65,B
569,32,70,7,5,52,26,26,22,46,A
570,24,50,25,68,75,49,35,33,32,A
571,71,23,55,46,42,64,50,55,51,B
572,62,7,61,23,36,27,67,41,27,A
573,70,19,76,49,72,54,51,35,53,B
574,8,7,27,80,32,49,69,38,20,A
575,16,97,54,46,61,20,66,28,39,A
576,10,2,83,74,46,68,60,58,65,B
577,45,88,37,96,34,62,69,26,52,B
578,99,49,6,74,42,42,25,33,49,A
579,83,35,2,70,60,63,57,56,29,A
580,98,20,40,61,42,60,32,55,55,A
581,59,87,1,28,80,54,40,44,24,A
582,1,61,91,80,44,69,38,60,50,B
583,27,37,99,55,48,36,58,68,51,B
584,69,79,92,81,85,24,29,64,35,B
585,41,43,2,89,85,28,62,41,59,A
586,27,77,57,13,51,31,22,39,41,B
587,67,40,71,60,71,49,51,30,31,B
588,76,44,58,27,77,42,66,34,22,B
589,32,15,1,65,34,62,62,37,41,A
590,86,36,42,65,31,50,44,26,68,A
591,70,83,2,44,74,59,39,44,37,B
592,0,57,13,62,74,56,53,26,65,A
593,13,98,99,30,33,37,57,37,26,B
594,44,3,70,55,31,24,51,30,32,A
595,38,61,65,44,47,61,67,48,56,A
596,10,68,56,5,75,23,61,32,35,B
597,52,26,28,2,47,42,38,29,30,B
598,12,98,54,84,69,25,43,37,56,A
599,90,47,52,61,46,66,23,52,68,B
600,60,94,13,80,53,44,43,63,51,A
601,44,50,8,24,71,66,30,29,50,A
602,75,10,34,18,34,36,53,35,57,A
603,11,91,71,71,47,56,68,64,50,A
604,78,8,72,50,61,20,61,49,62,B
605,64,53,39,70,51,67,59,49,61,B
606,47,75,27,29,60,39,28,27,42,B
607,21,79,67,54,69,27,54,69,67,A
608,21,0,66,48,89,48,53,21,25,B
609,30,78,8,84,52,68,50,54,24,A
610,44,97,50,37,56,41,64,34,43,B
611,56,74,38,55,30,42,62,29,60,A
612,20,66,37,89,79,45,35,27,29,B
613,24,77,87,92,37,55,45,37,34,A
614,44,28,97,16,49,48,50,57,57,B
615,63,78,70,45,30,31,66,20,58,A
616,14,98,7,13,80,21,25,62,54,B
617,41,61,83,15,80,59,55,67,65,B
618,91,7,16,17,88,26,22,40,66,A
619,86,86,96,64,63,47,50,39,31,B
620,76,86,51,46,51,43,46,33,65,B
621,6,42,29,75,44,23,38,64,33,A
622,4,82,49,65,48,52,57,64,22,A
623,66,68,91,21,86,41,45,66,58,B
624,69,12,24,14,53,34,22,44,67,A
625,0,35,7,52,31,46,52,69,44,B
626,99,46,30,66,79,69,63,35,65,B
627,70,16,93,47,62,50,68,22,69,A
628,98,37,56,53,32,26,21,47,26,A
